         0                   0,                   1                   0
         0                   0,                   1                   0
         0                   0,           0.0557208                   0
         0                   0,                   1                   0
         0                   0,           0.0557208                   0
         0                   0,           0.0489954                   0
         0                   0,                   1                   0
         0                   0,           0.0557208                   0
         0                   0,           0.0489954                   0
         0                   0,           0.0434531                   0
       0.8                 0.8,                   1                 0.8
       0.8                0.32,                   1                1.12
       0.8                   0,           0.0557208                1.12
       0.8           0.0853333,                   1             1.20533
       0.8                   0,           0.0557208             1.20533
       0.8                   0,           0.0489954             1.20533
       0.8           0.0170667,                   1              1.2224
       0.8                   0,           0.0557208              1.2224
       0.8                   0,           0.0489954              1.2224
       0.8                   0,           0.0434531              1.2224
       1.6                 0.4,                   1                 0.4
       1.6                0.74,                   1                1.14
       1.6                0.18,           0.0557208             1.15003
       1.6            0.538667,                   1              1.6887
       1.6               0.036,           0.0557208              1.6907
       1.6                   0,           0.0489954              1.6907
       1.6            0.246067,                   1             1.93677
       1.6              0.0054,           0.0557208             1.93707
       1.6                   0,           0.0489954             1.93707
       1.6                   0,           0.0434531             1.93707
       2.4                   0,                   1                   0
       2.4                0.18,                   1                0.18
       2.4                0.74,           0.0557208            0.221233
       2.4            0.538667,                   1              0.7599
       2.4            0.414667,           0.0557208            0.783006
       2.4           0.0106667,           0.0489954            0.783528
       2.4            0.592733,                   1             1.37626
       2.4            0.154733,           0.0557208             1.38488
       2.4          0.00106667,           0.0489954             1.38494
       2.4                   0,           0.0434531             1.38494
       3.2                   0,                   1                   0
       3.2                   0,                   1                   0
       3.2                0.32,           0.0557208           0.0178307
       3.2           0.0853333,                   1            0.103164
       3.2            0.630667,           0.0557208            0.138305
       3.2            0.282667,           0.0489954            0.152155
       3.2            0.352067,                   1            0.504221
       3.2            0.544733,           0.0557208            0.534574
       3.2           0.0860667,           0.0489954            0.538791
       3.2         6.66667e-05,           0.0434531            0.538794
         4                   0,                   1                   0
         4                   0,                   1                   0
         4                   0,           0.0557208                   0
         4                   0,                   1                   0
         4            0.166667,           0.0557208           0.0092868
         4            0.666667,           0.0489954           0.0419504
         4           0.0416667,                   1           0.0836171
         4            0.458333,           0.0557208            0.109156
         4            0.458333,           0.0489954            0.131612
         4           0.0416667,           0.0434531            0.133423
       4.8                   0,                   1                   0
       4.8                   0,                   1                   0
       4.8                   0,           0.0557208                   0
       4.8                   0,                   1                   0
       4.8          0.00133333,           0.0557208         7.42944e-05
       4.8            0.282667,           0.0489954           0.0139237
       4.8         6.66667e-05,                   1           0.0139903
       4.8           0.0860667,           0.0557208            0.018786
