gamma_n(1200)=0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 0
 t= 0,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 0
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.8 h_n= 0.8
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.32 h_n= 1.12
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.12
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.0853333 h_n= 1.20533
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.20533
 t= 0.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.20533
 t= 0.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.0170667 h_n= 1.2224
 t= 0.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 1.2224
 t= 0.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.2224
 t= 0.8,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 1.2224
 t= 1.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.4 h_n= 0.4
 t= 1.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.74 h_n= 1.14
 t= 1.6,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.18 h_n= 1.15003
 t= 1.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.538667 h_n= 1.6887
 t= 1.6,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.036 h_n= 1.6907
 t= 1.6,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.6907
 t= 1.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.246067 h_n= 1.93677
 t= 1.6,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.0054 h_n= 1.93707
 t= 1.6,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0 h_n= 1.93707
 t= 1.6,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 1.93707
 t= 2.4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 2.4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.18 h_n= 0.18
 t= 2.4,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.74 h_n= 0.221233
 t= 2.4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.538667 h_n= 0.7599
 t= 2.4,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.414667 h_n= 0.783006
 t= 2.4,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0.0106667 h_n= 0.783528
 t= 2.4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.592733 h_n= 1.37626
 t= 2.4,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.154733 h_n= 1.38488
 t= 2.4,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0.00106667 h_n= 1.38494
 t= 2.4,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0 h_n= 1.38494
 t= 3.2,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 3.2,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 3.2,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.32 h_n= 0.0178307
 t= 3.2,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.0853333 h_n= 0.103164
 t= 3.2,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.630667 h_n= 0.138305
 t= 3.2,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0.282667 h_n= 0.152155
 t= 3.2,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.352067 h_n= 0.504221
 t= 3.2,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.544733 h_n= 0.534574
 t= 3.2,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0.0860667 h_n= 0.538791
 t= 3.2,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=6.66667e-05 h_n= 0.538794
 t= 4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 4,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 4,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.166667 h_n= 0.0092868
 t= 4,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0.666667 h_n= 0.0419504
 t= 4,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0.0416667 h_n= 0.0836171
 t= 4,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.458333 h_n= 0.109156
 t= 4,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0.458333 h_n= 0.131612
 t= 4,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0.0416667 h_n= 0.133423
 t= 4.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 4.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 4.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 4.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 4.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.00133333 h_n= 7.42944e-05
 t= 4.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0.282667 h_n= 0.0139237
 t= 4.8,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=6.66667e-05 h_n= 0.0139903
 t= 4.8,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0.0860667 h_n= 0.018786
 t= 4.8,  beta_n(j,r,a,t)=0.0489954, gamma_n(t-r,j)=0.544733 h_n= 0.0454755
 t= 4.8,  beta_n(j,r,a,t)=0.0434531, gamma_n(t-r,j)=0.352067 h_n= 0.0607739
 t= 5.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 5.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
 t= 5.6,  beta_n(j,r,a,t)=0.0557208, gamma_n(t-r,j)=0 h_n= 0
 t= 5.6,  beta_n(j,r,a,t)=1, gamma_n(t-r,j)=0 h_n= 0
